Q510383,"Q15974311, Q4421","Q3000, Q479387",58.49 (2017-12-31T00:00:00Z),,Point(10.3731 53.5422),"0 (1975-12-31T00:00:00Z), 0 (2017-12-31T00:00:00Z)",,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sachsenwald%20in%20RZ.svg,RZ,21521,,,,,4105163-4,2842497,324110,,,01053105,010539105105,Sachsenwald,Sachsenwald,Sachsenwald,gemeindefreies Gebiet in Schleswig-Holstein,"forest near Hamburg, Germany",,https://de.wikipedia.org/wiki/Sachsenwald,https://en.wikipedia.org/wiki/Sachsenwald,https://fr.wikipedia.org/wiki/Sachsenwald,Schleswig-Holstein,Kreis Herzogtum Lauenburg,None,
Q2118706,"Q11177275, Q15974311, Q338112",Q10522,3.72 (2018-12-31T00:00:00Z),,Point(11.4386 47.9319),0,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pupplinger%20Au%20in%20T%C3%96L.svg,,,,,,,,2851670,936972,,,09173451,091739451451,Pupplinger Au,Pupplinger Au,Pupplinger Au,Gemeindefreies Gebiet im Landkreis Bad Tölz-Wolfratshausen in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Pupplinger_Au,,,Bayern,Landkreis Bad Tölz-Wolfratshausen,None,
Q9322959,Q15974311,Q10526,7.33,,Point(12.094872222 47.963361111),0 (2020-03-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Rotter%20Forst-Nord%20in%20RO.svg,,,,,,,,,2186946,,,09187451,091879451451,Rotter Forst-Nord,Rotter Forst-Nord,Rotter Forst-Nord,gemeindefreies Gebiet im Landkreis Rosenheim in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Rotter_Forst-Nord,,,Bayern,Landkreis Rosenheim,None,
Q1281238,Q15974311,Q10530,12.6,,Point(13.0775 47.6242),0,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Eck%20in%20BGL.svg,,,,,,,,,3092072,,,09172452,091729452452,Eck,Eck,Eck,gemeindefreies Gebiet im Landkreis Berchtesgadener Land in Bayern,"unincorporated area in Berchtesgadener Land district, Germany",secteur non constitué en municipalité de l'Allemagne,https://de.wikipedia.org/wiki/Eck_(gemeindefreies_Gebiet),,,Bayern,Landkreis Berchtesgadener Land,None,
Q17283081,Q15974311,Q10528,8.99,,Point(12.7775 47.938611111),0 (2020-03-31T00:00:00Z),,,,,,,,,,,,,,,941677,,,09189452,091899452452,Waginger See,Waginger See,Waginger See,gemeindefreies Gebiet im Landkreis Traunstein in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Waginger_See_(gemeindefreies_Gebiet),,,Bayern,Landkreis Traunstein,None,
Q1721230,"Q15974311, Q4421",Q10537,7.12,,"Point(12.436488888 48.224188888), Point(12.4372 48.2297)",0 (2020-03-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%BChldorfer%20Hart%20in%20M%C3%9C.svg,,,,,,,,2868503,941054,,,09183451,091839451451,Mühldorfer Hart,Mühldorfer Hart,Mühldorfer Hart,gemeindefreies Gebiet im Landkreis Mühldorf am Inn in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/M%C3%BChldorfer_Hart,,,Bayern,Landkreis Mühldorf am Inn,None,
Q1169982,Q15974311,Q10541,17.83,,Point(11.9642 48.1347),0 (2020-03-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ebersberger%20Forst%20%28gemeindefreies%20Gebiet%29%20in%20EBE.svg,,,,,,,,,929914,,,09175452,091759452452,Ebersberger Forst,Ebersberger Forst,Ebersberger Forst,gemeindefreies Gebiet im Landkreis Ebersberg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Ebersberger_Forst_(gemeindefreies_Gebiet),,,Bayern,Landkreis Ebersberg,None,
Q1438266,"Q15974311, Q2324919",Q10544,37.08,,Point(11.4611 48.0469),0 (2020-03-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Forstenrieder%20Park%20in%20M.svg,,,,,,,4071321-0,3208336,944960,,,09184452,091849452452,Forstenrieder Park,Forstenrieder Park,Forstenrieder Park,gemeindefreies Gebiet im Landkreis München in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Forstenrieder_Park,,,Bayern,Landkreis München,None,
Q1467128,Q15974311,Q10544,19.57,,Point(11.5347 48.0232),0,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gr%C3%BCnwalder%20Forst%20in%20M.svg,,,,,,,,,944959,,,09184454,091849454454,Grünwalder Forst,Grünwalder Forst,Grünwalder Forst,gemeindefreies Gebiet im Landkreis München in Bayern,unincorporated area in Germany,,,,,Bayern,Landkreis München,None,
Q695437,Q15974311,Q8217,64.63 (2017-12-31T00:00:00Z),,Point(9.559519444 48.445744444),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gutsbezirk%20M%C3%BCnsingen%20in%20RT.svg,RT,72525,,,,,7820667-4,,2774197,,,08415971,084159971971,Gutsbezirk Münsingen,Gutsbezirk Münsingen,Gutsbezirk Münsingen,gemeindefreies Gebiet,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Gutsbezirk_M%C3%BCnsingen,https://en.wikipedia.org/wiki/Gutsbezirk_M%C3%BCnsingen,https://fr.wikipedia.org/wiki/District_de_domaine_de_M%C3%BCnsingen,Baden-Württemberg,Landkreis Reutlingen,None,
Q770427,"Q1499928, Q15974311",Q7911,89.29 (2017-12-31T00:00:00Z),,Point(9.474677777 50.249291666),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gutsbezirk%20Spessart%20in%20MKK.svg,,,,,,,,,535939,,,06435200,064359200200,Gutsbezirk Spessart,Spessart,,"gemeindefreies Gebiet im Main-Kinzig-Kreis, Hessen, Deutschland","unincorporated area in Main-Kinzig-Kreis in Hesse, Germany",,https://de.wikipedia.org/wiki/Gutsbezirk_Spessart,https://en.wikipedia.org/wiki/Gutsbezirk_Spessart,,Hessen,Main-Kinzig-Kreis,None,
Q875908,Q15974311,Q5913,"51.81, 51.92 (2017-12-31T00:00:00Z)",,Point(10.8246 53.1128),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%B6hrde%20%28gemeindefreies%20Gebiet%29%20in%20DAN.svg,DAN,,,,,,4021420-5,,2017061,,,03354502,033549502502,Göhrde,Göhrde,Göhrde,Gemeindefreies Gebiet im Landkreis Lüchow-Dannenberg,unincorporated area in Lower Saxony,,https://de.wikipedia.org/wiki/G%C3%B6hrde_(gemeindefreies_Gebiet),https://en.wikipedia.org/wiki/G%C3%B6hrde_(unincorporated_area),,Niedersachsen,Landkreis Lüchow-Dannenberg,None,
Q17083644,Q15974311,Q5934,0.31 (2017-12-31T00:00:00Z),,Point(6.866666666 53.583333333),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%BCtje%20H%C3%B6rn%20in%20LER.svg,,,,,,,,,2017003,,,03457501,034579501501,Insel Lütje Hörn,Insel Lütje Hörn,,Gemeindefreies Gebiet im Landkreis Leer,unincorporated area in Germany,,,,,Niedersachsen,Landkreis Leer,None,
Q9282428,Q15974311,Q5973,22.85 (2017-12-31T00:00:00Z),,Point(9.71667 51.9333),2421 (2013-01-11T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gr%C3%BCnenplan%20%28gemeindefrei%29%20in%20HOL.svg,,,,,,,,,2016907,,,03255504,032559504504,Grünenplan,Grünenplan,Grünenplan,"gemeindefreies Gebiet im Landkreis Holzminden, Niedersachsen, Deutschland","unincorporated area in Holzminden district, Lower Saxony, Germany",,https://de.wikipedia.org/wiki/Gr%C3%BCnenplan_(gemeindefreies_Gebiet),,,Niedersachsen,Landkreis Holzminden,None,
Q9339371,Q15974311,Q6018,177.28 (2017-12-31T00:00:00Z),,Point(9.63333 51.7333),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Solling%20in%20NOM.svg,,,,,,,,,1616907,,,03155501,031559501501,Solling,Solling,Solling,"gemeindefreies Gebiet im Landkreis Northeim, Niedersachsen, Deutschland","unincorporated area in Northeim district, Lower Saxony, Germany",,https://de.wikipedia.org/wiki/Solling_(gemeindefreies_Gebiet),,,Niedersachsen,Landkreis Northeim,None,
Q9165948,Q15974311,Q6041,1.29 (2017-12-31T00:00:00Z),,Point(10.839117 52.172519),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Barnstorf-Warle%20in%20WF.svg,,,,,,,,,2017097,,,03158502,031589502502,Barnstorf-Warle,Barnstorf-Warle,,gemeindefreies Gebiet in Niedersachsen,unincorporated area in Lower Saxony,,https://de.wikipedia.org/wiki/Barnstorf-Warle,,,Niedersachsen,Landkreis Wolfenbüttel,None,
Q11688950,Q15974311,Q6047,4.14 (2017-12-31T00:00:00Z),,Point(10.846927 52.184204),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Brunsleberfeld%20%28gemeindefrei%29%20in%20HE.svg,,,,,,,,,1614223,,,03154501,031549501501,Brunsleberfeld,Brunsleberfeld,,Gemeindefreies Gebiet im Landkreis Helmstedt,unincorporated area in Lower Saxony,,https://de.wikipedia.org/wiki/Brunsleberfeld,,,Niedersachsen,Landkreis Helmstedt,None,
Q2709061,"Q15974311, Q4421",Q10458,18.05,,Point(9.88334 49.7333),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Guttenberger%20Wald%20in%20W%C3%9C.svg,,,,,,,4489462-4,2913315,163748,,,09679452,096799452452,Guttenberger Wald,Guttenberger Wald,Guttenberger Wald,Gemeindefreies Gebiet im unterfränkischen Landkreis Würzburg in Deutschland,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Guttenberger_Wald,,,Bayern,Landkreis Würzburg,None,
Q2351276,Q15974311,Q10461,1.2,,Point(10.4431 49.8801),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Stollbergerforst%20in%20SW.svg,,,,,,,,,2594637,,,09678455,096789455455,Stollbergerforst,Stollbergerforst,Stollbergerforst,gemeindefreies Gebiet im Landkreis Schweinfurt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Stollbergerforst,,,Bayern,Landkreis Schweinfurt,None,
Q9369101,Q15974311,Q10461,1.46,,Point(10.46 49.905),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Vollburg%20in%20SW.svg,,,,,,,,,2593294,,,09678456,096789456456,Vollburg,Vollburg,Vollburg,gemeindefreies Gebiet im Landkreis Schweinfurt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Vollburg,,,Bayern,Landkreis Schweinfurt,None,
Q1438217,Q15974311,Q10466,11.39 (2018-12-31T00:00:00Z),,Point(9.76157 50.2023),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Forst%20Detter-S%C3%BCd%20in%20KG.svg,,,,,,,,,2602613,,,09672454,096729454454,Forst Detter-Süd,Forst Detter-Süd,Forst Detter-Süd,gemeindefreies Gebiet im Landkreis Bad Kissingen in Deutschland,unincorporated in Germany,,https://de.wikipedia.org/wiki/Forst_Detter-S%C3%BCd,,,Bayern,Landkreis Bad Kissingen,None,
Q1572300,Q15974311,Q10466,6.51 (2018-12-31T00:00:00Z),,Point(9.733341666 50.180875),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Omerz%20und%20Roter%20Berg%20in%20KG.svg,,,,,,,,,2604052,,,09672463,096729463463,Omerz und Roter Berg,Omerz und Roter Berg,Omerz und Roter Berg,gemeindefreies Gebiet im Landkreis Bad Kissingen in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Omerz_und_Roter_Berg,,,Bayern,Landkreis Bad Kissingen,None,
Q1573526,Q15974311,Q10466,11.29,,Point(9.93546 50.2572),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Waldfensterer%20Forst%20in%20KG.svg,,,,,,,,,2603803,,,09672468,096729468468,Waldfensterer Forst,Waldfensterer Forst,Waldfensterer Forst,gemeindefreies Gebiet im Landkreis Bad Kissingen in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Waldfensterer_Forst,,,Bayern,Landkreis Bad Kissingen,None,
Q1016235,"Q15974311, Q4421",Q10465,16.17,,Point(10.0653 50.3633),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Burgwallbacher%20Forst%20in%20NES.svg,,,,,,,,2941065,387353,,,09673452,096739452452,Burgwallbacher Forst,Burgwallbacher Forst,Burgwallbacher Forst,gemeindefreies Gebiet im Landkreis Rhön-Grabfeld in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Burgwallbacher_Forst,,,Bayern,Landkreis Rhön-Grabfeld,None,
Q2092659,Q15974311,Q10465,19.83,,Point(10.104 50.318),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Steinacher%20Forst%20in%20NES.svg,,,,,,,,,387471,,,09673456,096739456456,Steinacher Forst rechts der Saale,Steinacher Forst rechts der Saale,Steinacher Forst rechts der Saale,gemeindefreies Gebiet im Landkreis Rhön-Grabfeld in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Steinacher_Forst_rechts_der_Saale,,,Bayern,Landkreis Rhön-Grabfeld,None,
Q964615,"Q1499928, Q15974311",Q10471,33.76 (2018-12-31T00:00:00Z),,Point(9.41854 49.9782),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Rothenbucher%20Forst%20in%20AB.svg,,,,,,,,,534766,,,09671457,096719457457,Rothenbucher Forst,Rothenbucher Forst,Rothenbucher Forst,gemeindefreies Gebiet im Landkreis Aschaffenburg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Rothenbucher_Forst,,,Bayern,Landkreis Aschaffenburg,None,
Q964694,Q15974311,Q10471,22.35 (2018-12-31T00:00:00Z),,Point(9.324708333 49.939988888),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Waldaschaffer%20Forst%20in%20AB.svg,,,,,,,,,534756,,,09671460,096719460460,Waldaschaffer Forst,Waldaschaffer Forst,Waldaschaffer Forst,gemeindefreies Gebiet im Landkreis Aschaffenburg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Waldaschaffer_Forst,,,Bayern,Landkreis Aschaffenburg,None,
Q1438220,"Q1499928, Q15974311",Q10469,21.31,,Point(9.48455 49.9715),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Forst%20Lohrerstra%C3%9Fe%20in%20MSP.svg,,,,,,,,,2607274,,,09677454,096779454454,Forst Lohrerstraße,Forst Lohrerstraße,Forst Lohrerstraße,gemeindefreies Gebiet im Landkreis Main-Spessart in Bayern,unincorporated area in Germany,zone non constituée en société en Allemagne,https://de.wikipedia.org/wiki/Forst_Lohrerstra%C3%9Fe,,,Bayern,Landkreis Main-Spessart,None,
Q1558721,"Q1499928, Q15974311",Q10469,19.37,,Point(9.47399 50.0189),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Partensteiner%20Forst%20in%20MSP.svg,,,,,,,,,2607285,,,09677461,096779461461,Partensteiner Forst,Partensteiner Forst,Partensteiner Forst,gemeindefreies Gebiet im Landkreis Main-Spessart in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Partensteiner_Forst,,,Bayern,Landkreis Main-Spessart,None,
Q2176667,"Q1499928, Q15974311",Q10469,17.78,,Point(9.56368 50.0875),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ruppertsh%C3%BCttener%20Forst%20in%20MSP.svg,,,,,,,,,2604371,,,09677463,096779463463,Ruppertshüttener Forst,Ruppertshüttener Forst,Ruppertshüttener Forst,gemeindefreies Gebiet im Landkreis Main-Spessart in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Ruppertsh%C3%BCttener_Forst,,,Bayern,Landkreis Main-Spessart,None,
Q999499,Q15974311,Q10447,8.79 (2018-12-31T00:00:00Z),,Point(11.0608 49.5819),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Buckenhofer%20Forst%20in%20ERH.svg,,,,,,,,,1016529,,,09572452,095729452452,Buckenhofer Forst,Buckenhofer Forst,Buckenhofer Forst,gemeindefreies Gebiet im Landkreis Erlangen-Höchstadt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Buckenhofer_Forst,,,Bayern,Landkreis Erlangen-Höchstadt,None,
Q1516261,Q15974311,Q10447,8.48 (2018-12-31T00:00:00Z),,Point(11.1828 49.5381),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Geschaidt%20in%20ERH.svg,,,,,,,,,1016509,,,09572456,095729456456,Geschaidt,Geschaidt,Geschaidt,gemeindefreies Gebiet im Landkreis Erlangen-Höchstadt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Geschaidt,,,Bayern,Landkreis Erlangen-Höchstadt,None,
Q1981041,Q15974311,Q10447,10.17 (2018-12-31T00:00:00Z),,Point(11.0833 49.5333),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Neunhofer%20Forst%20in%20ERH.svg,,,,,,,,,1016508,,,09572460,095729460460,Neunhofer Forst,Neunhofer Forst,Neunhofer Forst,gemeindefreies Gebiet im Landkreis Erlangen-Höchstadt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Neunhofer_Forst,,,Bayern,Landkreis Erlangen-Höchstadt,None,
Q15325229,"Q15974311, Q4421",Q10451,1.67 (2018-12-31T00:00:00Z),,Point(10.9 49.3),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dechenwald%20in%20RH.svg,,,,,,,,2938650,158273,,,09576452,095769452452,Dechenwald,Dechenwald,Dechenwald,gemeindefreies Gebiet im Landkreis Roth in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Dechenwald,,,Bayern,Landkreis Roth,None,
Q814568,Q15974311,Q10449,11.16 (2018-12-31T00:00:00Z),,Point(11.2031 49.4972),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Behringersdorfer%20Forst%20in%20LAU.svg,,,,,,,,,1020217,,,09574451,095749451451,Behringersdorfer Forst,Behringersdorfer Forst,Behringersdorfer Forst,gemeindefreies Gebiet im Landkreis Nürnberger Land in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Behringersdorfer_Forst,,,Bayern,Landkreis Nürnberger Land,None,
Q1409367,Q15974311,Q10449,20.82 (2020-12-31T00:00:00Z),,Point(11.2431 49.3819),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Feuchter%20Forst%20in%20LAU.svg,,,,,,,,,63345,,,09574454,095749454454,Feuchter Forst,Feuchter Forst,Feuchter Forst,gemeindefreies Gebiet im Landkreis Nürnberger Land in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Feuchter_Forst,,,Bayern,Landkreis Nürnberger Land,None,
Q1561987,Q15974311,Q10449,5.92 (2018-12-31T00:00:00Z),,Point(11.2044 49.5231),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%BCnthersb%C3%BChler%20Forst%20in%20LAU.svg,,,,,,,,,1020216,,,09574457,095749457457,Günthersbühler Forst,Günthersbühler Forst,Günthersbühler Forst,gemeindefreies Gebiet im Landkreis Nürnberger Land in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/G%C3%BCnthersb%C3%BChler_Forst,,,Bayern,Landkreis Nürnberger Land,None,
Q15310099,Q15974311,Q10449,3.42 (2018-12-31T00:00:00Z),,Point(11.297486111 49.495644444),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindefreies%20Gebiet%20Sch%C3%B6nberg%20in%20LAU.svg,,,,,,,,,163196,,,09574463,095749463463,Schönberg,Schönberg,Schönberg,gemeindefreies Gebiet im Landkreis Nürnberger Land in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Sch%C3%B6nberg_(gemeindefreies_Gebiet),,,Bayern,Landkreis Nürnberger Land,None,
Q9267525,Q15974311,Q10431,5.83,,Point(11.6167 50.3167),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gerlaser%20Forst%20in%20HO.svg,,,,,,,,,1021696,,,09475452,094759452452,Gerlaser Forst,Gerlaser Forst,Gerlaser Forst,Gemeindefreies Gebiet im Landkreis Hof in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Gerlaser_Forst,,,Bayern,Landkreis Hof,None,
Q21921551,Q15974311,Q10434,12.71,,Point(11.55 50.3667),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Langenbacher%20Forst%20in%20KC.svg,,,,,,,,,1021754,,,09476453,094769453453,Langenbacher Forst,Langenbacher Forst,Langenbacher Forst,Gemeindefreies Gebiet im Landkreis Kronach in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Langenbacher_Forst,,,Bayern,Landkreis Kronach,None,
Q9371880,Q15974311,Q10432,15.11,,Point(11.8333 50.0667),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wei%C3%9Fenstadter%20Forst-S%C3%BCd%20in%20WUN.svg,,,,,,,,,1022890,,,09479463,094799463463,Weißenstadter Forst-Süd,Weißenstadter Forst-Süd,Weißenstadter Forst-Süd,Gemeindefreies Gebiet im Landkreis Wunsiedel in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Wei%C3%9Fenstadter_Forst-S%C3%BCd,,,Bayern,Landkreis Wunsiedel i. Fichtelgebirge,None,
Q11776972,Q15974311,Q10432,2.97,,Point(11.8833 50.0667),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Meierh%C3%B6fer%20Seite%20in%20WUN.svg,,,,,,,,,1022872,,,09479456,094799456456,Meierhöfer Seite,Meierhöfer Seite,Meierhöfer Seite,Gemeindefreies Gebiet im Landkreis Wunsiedel in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Meierh%C3%B6fer_Seite,,,Bayern,Landkreis Wunsiedel i. Fichtelgebirge,None,
Q11752825,"Q15974311, Q4421","Q10439, Q980",,,"Point(11.4167 49.8667), Point(11.418055555 49.875555555)",,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Langweiler%20Wald%20in%20BT.svg,,,,,,,,2880534,1070970,,,,094729459459,Langweiler Wald,Langweiler Wald,Langweiler Wald,ehemaliges gemeindefreies Gebiet im Landkreis Bayreuth in Bayern,former unincorporated area in Germany,forêt,https://de.wikipedia.org/wiki/Langweiler_Wald,,,Bayern,Landkreis Bayreuth,None,
Q9370033,"Q15974311, Q486972",Q10439,6.42 (2018-12-31T00:00:00Z),,Point(11.4 49.7167),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Waidacher%20Forst%20in%20BT.svg,,,,,,,,,1070971,,,09472469,094729469469,Waidacher Forst,Waidacher Forst,Waidacher Forst,gemeindefreies Gebiet im Landkreis Bayreuth in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Waidacher_Forst,,,Bayern,Landkreis Bayreuth,None,
Q11830466,Q15974311,Q10439,2.22 (2018-12-31T00:00:00Z),,Point(11.434341666 49.774236111),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pr%C3%BCll%20in%20BT.svg,,,,,,,,,1071005,,,09472464,094729464464,Prüll,Prüll,Prüll,gemeindefreies Gebiet im Landkreis Bayreuth in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Pr%C3%BCll_(Landkreis_Bayreuth),,,Bayern,Landkreis Bayreuth,None,
Q9179178,Q15974311,Q10442,2.4,,Point(10.909202777 50.044997222),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Breiteng%C3%BC%C3%9Fbacher%20Forst%20in%20LIF.svg,,,,,,,,,1026852,,,09478451,094789451451,Breitengüßbacher Forst,Breitengüßbacher Forst,Breitengüßbacher Forst,gemeindefreies Gebiet im Landkreis Lichtenfels in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Breiteng%C3%BC%C3%9Fbacher_Forst,,,Bayern,Landkreis Lichtenfels,None,
Q11751849,Q15974311,Q10440,0.9,,Point(10.852769444 50.281227777),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Callenberger%20Forst-West%20und%20K%C3%B6llnholz%20in%20CO.svg,,,,,,,,,2587474,,,09473454,094739454454,Köllnholz,Köllnholz,Köllnholz,gemeindefreies Gebiet im Landkreis Coburg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/K%C3%B6llnholz,,,Bayern,Landkreis Coburg,None,
Q9345605,Q15974311,Q10444,5.74,,Point(10.5528 49.7993),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Steinachsrangen%20in%20BA.svg,,,,,,,,,1077530,,,09471460,094719460460,Steinachsrangen,Steinachsrangen,Steinachsrangen,Gemeindefreies Gebiet im Landkreis Bamberg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Steinachsrangen,,,Bayern,Landkreis Bamberg,None,
Q11743536,Q15974311,Q10444,12.91,,Point(10.5333 49.85),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Koppenwinder%20Forst%20in%20BA.svg,,,,,,,,,1077535,,,09471456,094719456456,Koppenwinder Forst,Koppenwinder Forst,Koppenwinder Forst,Gemeindefreies Gebiet im Landkreis Bamberg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Koppenwinder_Forst,,,Bayern,Landkreis Bamberg,None,
Q9377650,"Q15974311, Q4421",Q10423,6.61,,"Point(12.015277777 49.117777777), Point(11.9833 49.3)",0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wolferlohe%20in%20SAD.svg,,,,,,,,2806887,3092533,,,09376455,093769455455,Wolferlohe,Wolferlohe,Wolferlohe,gemeindefreies Gebiet im Landkreis Schwandorf in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Wolferlohe,,,Bayern,Landkreis Schwandorf,None,
Q11779507,Q15974311,Q10420,1.4123 (2013-01-01T00:00:00Z),,Point(12.35 49.6),,,,,,,,,,,,2013-08-01T00:00:00Z,,,,,,,,093749453453,Michlbach,Michlbach,Michlbach,Ehemaliges gemeindefreies Gebiet im Landkreis Neustadt an der Waldnaab in Bayern,former unincorporated area in Germany,,,,,Bayern,Landkreis Neustadt an der Waldnaab,None,
